"ngram_full","ngram_tail","ngram_head","freq"
"getting to the end","end","getting to the",3
"getting too big for","for","getting too big",2
"gift I made for","for","gift I made",2
"girl I didn t","t","girl I didn",2
"girl Thanks for the","the","girl Thanks for",4
"girl thanks for the","the","girl thanks for",2
"girlfriEND boyfriEND friEND everything","everything","girlfriEND boyfriEND friEND",2
"give a I ll","ll","give a I",2
"give all of the","the","give all of",2
"give back to the","the","give back to",17
"give full credit to","to","give full credit",3
"give it a read","read","give it a",5
"give it a try","try","give it a",75
"give me a new","new","give me a",2
"give me a shoutout","shoutout","give me a",15
"give much of a","a","give much of",3
"give the public an","an","give the public",3
"give them the freedom","freedom","give them the",3
"give us a call","call","give us a",27
"give us a shot","shot","give us a",2
"give you a nice","nice","give you a",3
"give you all the","the","give you all",6
"give you time to","to","give you time",3
"give your heart a","a","give your heart",9
"given that there are","are","given that there",2
"given the fact that","that","given the fact",7
"given the green light","light","given the green",3
"given to us from","from","given to us",2
"given your life to","to","given your life",2
"gives me a headache","headache","gives me a",4
"gives me a sense","sense","gives me a",6
"glad I m not","not","glad I m",18
"glad to be a","a","glad to be",8
"glad to have you","you","glad to have",22
"glad to hear you","you","glad to hear",15
"glad you enjoyed it","it","glad you enjoyed",21
"glad you enjoyed the","the","glad you enjoyed",16
"glad you will be","be","glad you will",2
"glass breaking and the","the","glass breaking and",2
"glass with a COE","COE","glass with a",2
"go I know I","I","go I know",2
"go I try to","to","go I try",2
"go a long way","way","go a long",39
"go ahead and get","get","go ahead and",7
"go and let her","her","go and let",2
"go and talk to","to","go and talk",2
"go as far as","as","go as far",16
"go back and reread","reread","go back and",4
"go back to her","her","go back to",2
"go back to how","how","go back to",2
"go back to school","school","go back to",44
"go back to sleep","sleep","go back to",62
"go back to the","the","go back to",127
"go directly to the","the","go directly to",7
"go far in his","his","go far in",2
"go for it I","I","go for it",9
"go from one extreme","extreme","go from one",2
"go home and try","try","go home and",3
"go home and watch","watch","go home and",7
"go in there and","and","go in there",6
"go into Let s","s","go into Let",2
"go out and be","be","go out and",5
"go out of business","business","go out of",11
"go out of my","my","go out of",7
"go out of style","style","go out of",7
"go out there every","every","go out there",2
"go so far as","as","go so far",20
"go so well together","together","go so well",3
"go through it again","again","go through it",2
"go to Las Vegas","Vegas","go to Las",3
"go to a new","new","go to a",2
"go to my first","first","go to my",3
"go to school I","I","go to school",8
"go to school and","and","go to school",12
"go to the Van","Van","go to the",2
"go to the cost","cost","go to the",2
"go to the moon","moon","go to the",3
"goal at this point","point","goal at this",2
"goal has been to","to","goal has been",4
"goal is to finish","finish","goal is to",2
"goal is to get","get","goal is to",21
"goal is to give","give","goal is to",5
"goal of reducing the","the","goal of reducing",2
"goals is to move","move","goals is to",2
"goals on the year","year","goals on the",2
"goes much further than","than","goes much further",2
"goes out to all","all","goes out to",6
"goes to the jail","jail","goes to the",2
"going I think I","I","going I think",2
"going I ve been","been","going I ve",2
"going OK for you","you","going OK for",2
"going back and forth","forth","going back and",18
"going back to high","high","going back to",3
"going in the first","first","going in the",2
"going off the grid","grid","going off the",2
"going on right now","now","going on right",26
"going on since the","the","going on since",5
"going out of fashion","fashion","going out of",2
"going out there and","and","going out there",11
"going through keep going","going","going through keep",6
"going to ask about","about","going to ask",2
"going to be a","a","going to be",723
"going to be able","able","going to be",81
"going to be an","an","going to be",71
"going to be another","another","going to be",18
"going to be asked","asked","going to be",3
"going to be at","at","going to be",34
"going to be back","back","going to be",7
"going to be big","big","going to be",6
"going to be easy","easy","going to be",16
"going to be for","for","going to be",13
"going to be good","good","going to be",24
"going to be great","great","going to be",23
"going to be hard","hard","going to be",30
"going to be here","here","going to be",22
"going to be in","in","going to be",96
"going to be made","made","going to be",7
"going to be out","out","going to be",21
"going to be some","some","going to be",15
"going to be the","the","going to be",153
"going to be there","there","going to be",41
"going to be things","things","going to be",2
"going to be very","very","going to be",32
"going to be with","with","going to be",6
"going to break that","that","going to break",2
"going to bust my","my","going to bust",2
"going to call it","it","going to call",11
"going to call the","the","going to call",2
"going to come home","home","going to come",2
"going to do any","any","going to do",4
"going to do some","some","going to do",9
"going to do that","that","going to do",26
"going to do what","what","going to do",13
"going to fight for","for","going to fight",3
"going to find the","the","going to find",6
"going to finish this","this","going to finish",5
"going to get a","a","going to get",51
"going to get my","my","going to get",17
"going to get on","on","going to get",6
"going to get the","the","going to get",28
"going to give a","a","going to give",3
"going to give you","you","going to give",16
"going to go for","for","going to go",6
"going to happen but","but","going to happen",8
"going to happen in","in","going to happen",15
"going to happen with","with","going to happen",4
"going to hate me","me","going to hate",2
"going to have a","a","going to have",134
"going to have our","our","going to have",4
"going to have to","to","going to have",327
"going to jump off","off","going to jump",2
"going to lie I","I","going to lie",15
"going to look amazing","amazing","going to look",2
"going to make a","a","going to make",48
"going to make everyone","everyone","going to make",2
"going to make it","it","going to make",63
"going to make me","me","going to make",17
"going to make sure","sure","going to make",13
"going to need another","another","going to need",4
"going to play in","in","going to play",3
"going to root for","for","going to root",2
"going to run out","out","going to run",4
"going to see cars","cars","going to see",2
"going to share with","with","going to share",9
"going to sleep now","now","going to sleep",5
"going to spend the","the","going to spend",11
"going to start up","up","going to start",2
"going to take a","a","going to take",55
"going to tell me","me","going to tell",12
"going to the Sweet","Sweet","going to the",2
"going to the festival","festival","going to the",2
"going to the game","game","going to the",22
"going to try to","to","going to try",83
"going to use the","the","going to use",8
"going to walk you","you","going to walk",2
"going to want to","to","going to want",21
"going to watch that","that","going to watch",2
"going to work and","and","going to work",4
"going today I hope","hope","going today I",3
"gone back and forth","forth","gone back and",3
"gone on for the","the","gone on for",2
"gone so far as","as","gone so far",8
"gonna be a fun","fun","gonna be a",5
"gonna be you and","and","gonna be you",2
"gonna have so much","much","gonna have so",2
"good I haven t","t","good I haven",3
"good I want to","to","good I want",6
"good One of my","my","good One of",2
"good There s a","a","good There s",2
"good choice for your","your","good choice for",3
"good day for the","the","good day for",4
"good day you re","re","good day you",2
"good for the summer","summer","good for the",2
"good game last night","night","good game last",4
"good how are you","you","good how are",6
"good idea of what","what","good idea of",11
"good idea to have","have","good idea to",4
"good look at the","the","good look at",9
"good luck You ll","ll","good luck You",4
"good luck to your","your","good luck to",5
"good luck with your","your","good luck with",9
"good news is that","that","good news is",61
"good news is the","the","good news is",7
"good news is we","we","good news is",4
"good news of Jesus","Jesus","good news of",2
"good news was that","that","good news was",2
"good nights I can","can","good nights I",2
"good numbers when it","it","good numbers when",2
"good of the country","country","good of the",4
"good of the county","county","good of the",3
"good old days of","of","good old days",6
"good one That s","s","good one That",2
"good place to start","start","good place to",21
"good portion of the","the","good portion of",5
"good question I guess","guess","good question I",2
"good stuff to say","say","good stuff to",2
"good thing to do","do","good thing to",5
"good things simply because","because","good things simply",2
"good to be a","a","good to be",9
"good to be back","back","good to be",46
"good to be true","true","good to be",32
"good to go now","now","good to go",2
"good to know that","that","good to know",10
"good to me but","but","good to me",4
"good to spend time","time","good to spend",2
"good when you are","are","good when you",2
"goodies to play with","with","goodies to play",2
"gospel of the Kingdom","Kingdom","gospel of the",2
"got a couple of","of","got a couple",15
"got a new number","number","got a new",7
"got a pair of","of","got a pair",5
"got a point there","there","got a point",5
"got a stake in","in","got a stake",2
"got a text message","message","got a text",4
"got a ton of","of","got a ton",13
"got an opportunity to","to","got an opportunity",4
"got back from an","an","got back from",3
"got back from lunch","lunch","got back from",3
"got caught only to","to","got caught only",2
"got good size and","and","got good size",2
"got here It s","s","got here It",2
"got his th hit","hit","got his th",2
"got in the way","way","got in the",15
"got into an altercation","altercation","got into an",2
"got into the business","business","got into the",2
"got me crackin up","up","got me crackin",2
"got me thinking about","about","got me thinking",15
"got most of my","my","got most of",4
"got my picture taken","taken","got my picture",2
"got off to a","a","got off to",25
"got so much going","going","got so much",2
"got so much to","to","got so much",5
"got the ball back","back","got the ball",8
"got the least out","out","got the least",2
"got tickets to see","see","got tickets to",3
"got time for that","that","got time for",3
"got to be able","able","got to be",6
"got to be there","there","got to be",5
"got to do is","is","got to do",8
"got to do this","this","got to do",3
"got to hang with","with","got to hang",2
"got to see it","it","got to see",6
"got to see the","the","got to see",14
"got to work hard","hard","got to work",3
"got up and went","went","got up and",6
"got up at am","am","got up at",4
"got up this morning","morning","got up this",7
"gotta know how to","to","gotta know how",2
"gotta say is that","that","gotta say is",2
"gotten around to reading","reading","gotten around to",2
"gotten away with it","it","gotten away with",2
"governing body of the","the","governing body of",2
"government said last week","week","government said last",2
"grab some lunch and","and","grab some lunch",2
"graciously agreed to answer","answer","graciously agreed to",2
"graduate of the University","University","graduate of the",5
"graduating from college in","in","graduating from college",2
"grams fat grams saturated","saturated","grams fat grams",2
"grand scheme of things","things","grand scheme of",14
"grasp the concept of","of","grasp the concept",2
"grateful for the opportunity","opportunity","grateful for the",4
"grateful that I have","have","grateful that I",7
"great It takes a","a","great It takes",2
"great day I have","have","great day I",3
"great day for the","the","great day for",7
"great examples of the","the","great examples of",2
"great idea for a","a","great idea for",5
"great many of us","us","great many of",2
"great minds think alike","alike","great minds think",10
"great prices on Gripit","Gripit","great prices on",2
"great thing is that","that","great thing is",3
"great time at the","the","great time at",35
"great time talking to","to","great time talking",2
"great to meet you","you","great to meet",52
"great to see the","the","great to see",10
"great to see you","you","great to see",58
"great value in the","the","great value in",2
"great way for students","students","great way for",2
"great way to start","start","great way to",26
"grew out of his","his","grew out of",2
"grew to as much","much","grew to as",2
"grew to love the","the","grew to love",2
"grew up in and","and","grew up in",3
"grew up on a","a","grew up on",12
"grew up with some","some","grew up with",2
"grilled cheese sandwich The","The","grilled cheese sandwich",2
"group based in the","the","group based in",2
"group of young men","men","group of young",5
"group to lean on","on","group to lean",2
"growing up I have","have","growing up I",2
"grown out of my","my","grown out of",2
"grown over the years","years","grown over the",2
"guess I do have","have","guess I do",3
"guess I ll have","have","guess I ll",14
"guess I ve been","been","guess I ve",4
"guess it s the","the","guess it s",2
"guess that I should","should","guess that I",2
"guess that s one","one","guess that s",3
"guess we all have","have","guess we all",3
"guess we need to","to","guess we need",2
"guess what I love","love","guess what I",3
"guess what I m","m","guess what I",11
"guess what happened I","I","guess what happened",2
"guess you re right","right","guess you re",3
"guilty last year to","to","guilty last year",3
"guilty to aggravated murder","murder","guilty to aggravated",2
"guilty to seconddegree murder","murder","guilty to seconddegree",3
"gunshot wound to his","his","gunshot wound to",7
"guy I don t","t","guy I don",6
"guy that s funny","funny","guy that s",2
"guys playing in the","the","guys playing in",3
"guys so much I","I","guys so much",3
"guys won t be","be","guys won t",2
"had It s just","just","had It s",2
"had a bit of","of","had a bit",35
"had a broken leg","leg","had a broken",2
"had a busy day","day","had a busy",3
"had a chance to","to","had a chance",141
"had a decision to","to","had a decision",2
"had a dream about","about","had a dream",26
"had a fantastic time","time","had a fantastic",7
"had a field day","day","had a field",5
"had a friend tell","tell","had a friend",2
"had a great day","day","had a great",49
"had a hand in","in","had a hand",16
"had a heart attack","attack","had a heart",24
"had a lot in","in","had a lot",3
"had a lot more","more","had a lot",11
"had a lot of","of","had a lot",188
"had a minor stroke","stroke","had a minor",2
"had a moment of","of","had a moment",13
"had a plan for","for","had a plan",3
"had a pretty bad","bad","had a pretty",3
"had a really good","good","had a really",25
"had a really great","great","had a really",8
"had a scrap of","of","had a scrap",2
"had a sense of","of","had a sense",6
"had a very nice","nice","had a very",3
"had a yummy lunch","lunch","had a yummy",2
"had an RBI single","single","had an RBI",3
"had an idea for","for","had an idea",5
"had been accepted into","into","had been accepted",2
"had been called by","by","had been called",2
"had been doing it","it","had been doing",2
"had been found dead","dead","had been found",3
"had been listening to","to","had been listening",2
"had been placed in","in","had been placed",3
"had been planning to","to","had been planning",6
"had been shot and","and","had been shot",3
"had come from as","as","had come from",3
"had come to America","America","had come to",2
"had done this to","to","had done this",2
"had gestational diabetes and","and","had gestational diabetes",2
"had in a long","long","had in a",11
"had it not been","been","had it not",17
"had its ups and","and","had its ups",3
"had just about enough","enough","had just about",3
"had just found out","out","had just found",2
"had just happened and","and","had just happened",2
"had lost a job","job","had lost a",2
"had made a deal","deal","had made a",3
"had me on the","the","had me on",3
"had never seen anything","anything","had never seen",4
"had never seen or","or","had never seen",2
"had no idea about","about","had no idea",12
"had no idea who","who","had no idea",7
"had no money for","for","had no money",2
"had not heard from","from","had not heard",3
"had not seen anything","anything","had not seen",2
"had nothing to do","do","had nothing to",68
"had on hand and","and","had on hand",5
"had one for the","the","had one for",2
"had one of the","the","had one of",27
"had originally planned to","to","had originally planned",2
"had quite a few","few","had quite a",11
"had so much fun","fun","had so much",74
"had some of them","them","had some of",3
"had some problems with","with","had some problems",3
"had some sort of","of","had some sort",13
"had taken to a","a","had taken to",2
"had the authority to","to","had the authority",3
"had the chance to","to","had the chance",55
"had the good fortune","fortune","had the good",11
"had the honor of","of","had the honor",15
"had the intention of","of","had the intention",2
"had the last shot","shot","had the last",2
"had the opportunity to","to","had the opportunity",71
"had the pleasure of","of","had the pleasure",45
"had the wonderful opportunity","opportunity","had the wonderful",2
"had to be a","a","had to be",21
"had to be done","done","had to be",18
"had to be honest","honest","had to be",3
"had to be made","made","had to be",6
"had to be there","there","had to be",6
"had to cancel Well","Well","had to cancel",2
"had to come out","out","had to come",9
"had to do a","a","had to do",13
"had to fight for","for","had to fight",5
"had to find out","out","had to find",3
"had to get up","up","had to get",11
"had to have it","it","had to have",11
"had to make sure","sure","had to make",8
"had to make the","the","had to make",7
"had to put them","them","had to put",3
"had to stay in","in","had to stay",4
"had to stop and","and","had to stop",16
"had to think fast","fast","had to think",2
"had to throw it","it","had to throw",3
"had to wonder whether","whether","had to wonder",2
"had traveled to the","the","had traveled to",4
"had yards on carries","carries","had yards on",2
"hadn t been for","for","hadn t been",3
"hadn t thought about","about","hadn t thought",8
"haha I hope you","you","haha I hope",4
"haha I m so","so","haha I m",5
"haha I want to","to","haha I want",5
"haha what did you","you","haha what did",2
"hahaha I was like","like","hahaha I was",2
"half a day s","s","half a day",3
"half of the electorate","electorate","half of the",2
"half of the group","group","half of the",2
"half of the program","program","half of the",3
"half of the year","year","half of the",24
"halfyear s worth of","of","halfyear s worth",2
"hamper international efforts to","to","hamper international efforts",2
"hand after punching hard","hard","hand after punching",2
"hand it over to","to","hand it over",3
"handed down to us","us","handed down to",2
"handed it to her","her","handed it to",4
"handful of states that","that","handful of states",2
"handle the loss of","of","handle the loss",2
"hands and arms and","and","hands and arms",2
"hands and holding onto","onto","hands and holding",2
"hang out in the","the","hang out in",9
"hang out on the","the","hang out on",8
"hang out with my","my","hang out with",18
"hanging in the balance","balance","hanging in the",7
"hanging out with his","his","hanging out with",3
"hanging out with you","you","hanging out with",11
"happen I know it","it","happen I know",2
"happen in the next","next","happen in the",9
"happen on the page","page","happen on the",2
"happen to anyone else","else","happen to anyone",5
"happen to be in","in","happen to be",15
"happened for a reason","reason","happened for a",2
"happened to be reading","reading","happened to be",2
"happened to me once","once","happened to me",4
"happened to me when","when","happened to me",3
"happens for a reason","reason","happens for a",28
"happens in my life","life","happens in my",3
"happens when you don","don","happens when you",2
"happy for her RT","RT","happy for her",2
"happy new year and","and","happy new year",3
"happy to have won","won","happy to have",2
"happy to see so","so","happy to see",4
"hard as you can","can","hard as you",5
"hard decision to make","make","hard decision to",3
"hard for the money","money","hard for the",5
"hard play hard and","and","hard play hard",2
"hard question to answer","answer","hard question to",5
"hard surface in lockeroom","lockeroom","hard surface in",2
"hard to come up","up","hard to come",6
"hard to find those","those","hard to find",3
"hard to get a","a","hard to get",12
"hard to get this","this","hard to get",3
"hard to imagine how","how","hard to imagine",3
"hard to live with","with","hard to live",2
"hard to put down","down","hard to put",3
"hard to tell whether","whether","hard to tell",2
"hard work I ve","ve","hard work I",3
"hard work and the","the","hard work and",2
"harder for him to","to","harder for him",2
"hardest decisions to make","make","hardest decisions to",2
"harkens back to the","the","harkens back to",5
"has a backlog of","of","has a backlog",2
"has a blog and","and","has a blog",2
"has a chance to","to","has a chance",26
"has a degree in","in","has a degree",12
"has a lead in","in","has a lead",2
"has a lot to","to","has a lot",35
"has a new book","book","has a new",8
"has a tendency to","to","has a tendency",9
"has about of the","the","has about of",3
"has acknowledged that he","he","has acknowledged that",2
"has already bought a","a","has already bought",2
"has already paid the","the","has already paid",2
"has also come to","to","has also come",2
"has always been to","to","has always been",11
"has always been very","very","has always been",3
"has always helped people","people","has always helped",2
"has an END except","except","has an END",2
"has an effect on","on","has an effect",2
"has anything to do","do","has anything to",17
"has been a bad","bad","has been a",2
"has been a blessing","blessing","has been a",4
"has been a fair","fair","has been a",3
"has been a true","true","has been a",2
"has been abusing its","its","has been abusing",2
"has been advocating on","on","has been advocating",2
"has been approved for","for","has been approved",5
"has been at least","least","has been at",3
"has been born for","for","has been born",2
"has been brought to","to","has been brought",12
"has been building for","for","has been building",3
"has been captured in","in","has been captured",2
"has been charged with","with","has been charged",42
"has been convicted of","of","has been convicted",10
"has been diagnosed with","with","has been diagnosed",7
"has been exported to","to","has been exported",3
"has been forced to","to","has been forced",12
"has been going on","on","has been going",35
"has been gone for","for","has been gone",5
"has been in place","place","has been in",6
"has been made with","with","has been made",3
"has been married to","to","has been married",7
"has been nominated for","for","has been nominated",11
"has been on a","a","has been on",16
"has been on my","my","has been on",11
"has been one of","of","has been one",57
"has been placed on","on","has been placed",8
"has been restored to","to","has been restored",8
"has been the reward","reward","has been the",3
"has been to get","get","has been to",3
"has been trying to","to","has been trying",28
"has been used in","in","has been used",9
"has caught up to","to","has caught up",2
"has changed a lot","lot","has changed a",6
"has come full circle","circle","has come full",2
"has come so far","far","has come so",4
"has come to an","an","has come to",8
"has completed her eligibility","eligibility","has completed her",2
"has continued to be","be","has continued to",3
"has continued to grow","grow","has continued to",2
"has died at age","age","has died at",4
"has done for us","us","has done for",5
"has done it I","I","has done it",2
"has done little to","to","has done little",4
"has earned a spot","spot","has earned a",2
"has ever been banned","banned","has ever been",2
"has ever heard of","of","has ever heard",7
"has finally found a","a","has finally found",2
"has fought for years","years","has fought for",3
"has gone so far","far","has gone so",3
"has had its ups","ups","has had its",2
"has in any way","way","has in any",2
"has in so many","many","has in so",2
"has in store for","for","has in store",17
"has its own entrance","entrance","has its own",2
"has just percent of","of","has just percent",2
"has learned from his","his","has learned from",2
"has less to do","do","has less to",4
"has long been associated","associated","has long been",2
"has long been forgotten","forgotten","has long been",2
"has long been the","the","has long been",7
"has long been used","used","has long been",3
"has made me a","a","has made me",11
"has me a bit","bit","has me a",2
"has more to do","do","has more to",19
"has never been built","built","has never been",2
"has never happened to","to","has never happened",5
"has never taken a","a","has never taken",2
"has no plans to","to","has no plans",19
"has not been set","set","has not been",3
"has not had the","the","has not had",3
"has nothing to do","do","has nothing to",112
"has now seen the","the","has now seen",2
"has only a few","few","has only a",3
"has picked up a","a","has picked up",3
"has pleaded guilty to","to","has pleaded guilty",9
"has really been a","a","has really been",5
"has said he will","will","has said he",10
"has said it could","could","has said it",3
"has some form of","of","has some form",4
"has spent the past","past","has spent the",9
"has stuck with me","me","has stuck with",5
"has teamed up with","with","has teamed up",7
"has texted me all","all","has texted me",2
"has the authority to","to","has the authority",11
"has the backing of","of","has the backing",7
"has the consistency of","of","has the consistency",3
"has the idea of","of","has the idea",2
"has the most amazing","amazing","has the most",2
"has the potential to","to","has the potential",46
"has the right to","to","has the right",43
"has to be done","done","has to be",30
"has to be one","one","has to be",22
"has to be reminded","reminded","has to be",2
"has to be some","some","has to be",13
"has to be very","very","has to be",2
"has to offer and","and","has to offer",6
"has to wait until","until","has to wait",2
"has to watch this","this","has to watch",2
"has to wear a","a","has to wear",3
"has until June to","to","has until June",3
"has won its battle","battle","has won its",2
"has worked as an","an","has worked as",5
"has worked for the","the","has worked for",7
"has worked in the","the","has worked in",6
"has yet been made","made","has yet been",2
"has yet to break","break","has yet to",2
"hasn t been an","an","hasn t been",4
"hasn t been much","much","hasn t been",4
"hasn t been set","set","hasn t been",3
"hasn t been too","too","hasn t been",4
"hasn t made up","up","hasn t made",2
"hasn t said anything","anything","hasn t said",3
"hate being the youngest","youngest","hate being the",2
"hate it hate it","it","hate it hate",3
"hate mahomies gonna love","love","hate mahomies gonna",2
"hate me because I","I","hate me because",3
"hate themselves because you","you","hate themselves because",2
"hate when I can","can","hate when I",3
"hate when I see","see","hate when I",2
"have A LOT of","of","have A LOT",2
"have a big project","project","have a big",2
"have a bit of","of","have a bit",35
"have a brand new","new","have a brand",4
"have a browse through","through","have a browse",2
"have a chance of","of","have a chance",15
"have a confession to","to","have a confession",6
"have a deep respect","respect","have a deep",3
"have a dirty mind","mind","have a dirty",3
"have a few cards","cards","have a few",2
"have a food processor","processor","have a food",3
"have a gander at","at","have a gander",3
"have a good life","life","have a good",6
"have a good one","one","have a good",27
"have a great day","day","have a great",131
"have a great idea","idea","have a great",3
"have a great weekend","weekend","have a great",86
"have a habit of","of","have a habit",8
"have a handle on","on","have a handle",2
"have a happy ending","ending","have a happy",2
"have a happy new","new","have a happy",2
"have a hard time","time","have a hard",90
"have a heart attack","attack","have a heart",14
"have a little more","more","have a little",7
"have a lot going","going","have a lot",9
"have a lot of","of","have a lot",356
"have a major problem","problem","have a major",2
"have a message for","for","have a message",2
"have a particularly bad","bad","have a particularly",2
"have a plan of","of","have a plan",4
"have a powerful effect","effect","have a powerful",3
"have a pretty good","good","have a pretty",20
"have a problem with","with","have a problem",58
"have a question regarding","regarding","have a question",2
"have a role to","to","have a role",3
"have a safe and","and","have a safe",5
"have a solution for","for","have a solution",4
"have a strong desire","desire","have a strong",2
"have a team of","of","have a team",4
"have a ton of","of","have a ton",37
"have a track record","record","have a track",2
"have a vested interest","interest","have a vested",8
"have a wonderful Saturday","Saturday","have a wonderful",2
"have about hours to","to","have about hours",2
"have access to a","a","have access to",10
"have access to more","more","have access to",2
"have access to the","the","have access to",23
"have also been working","working","have also been",3
"have always been a","a","have always been",22
"have always dreamed of","of","have always dreamed",3
"have always thought that","that","have always thought",4
"have an advantage over","over","have an advantage",4
"have an emotional attachment","attachment","have an emotional",2
"have an impact on","on","have an impact",15
"have an opinion You","You","have an opinion",2
"have an opportunity to","to","have an opportunity",39
"have any confidence that","that","have any confidence",3
"have any details on","on","have any details",3
"have any info on","on","have any info",3
"have any information on","on","have any information",3
"have any of these","these","have any of",3
"have any questions about","about","have any questions",20
"have any reason to","to","have any reason",3
"have at least more","more","have at least",2
"have been a better","better","have been a",11
"have been a long","long","have been a",2
"have been a mistake","mistake","have been a",2
"have been able to","to","have been able",124
"have been and will","will","have been and",6
"have been around for","for","have been around",13
"have been concentrating on","on","have been concentrating",2
"have been cool to","to","have been cool",3
"have been dealt with","with","have been dealt",4
"have been discussing for","for","have been discussing",2
"have been done to","to","have been done",4
"have been fighting the","the","have been fighting",3
"have been his last","last","have been his",2
"have been in a","a","have been in",16
"have been in the","the","have been in",46
"have been interesting to","to","have been interesting",3
"have been introduced in","in","have been introduced",3
"have been known to","to","have been known",37
"have been made in","in","have been made",5
"have been made right","right","have been made",2
"have been married for","for","have been married",12
"have been meeting with","with","have been meeting",5
"have been much better","better","have been much",5
"have been on a","a","have been on",13
"have been paid for","for","have been paid",2
"have been published in","in","have been published",7
"have been put in","in","have been put",6
"have been quite a","a","have been quite",6
"have been rooted in","in","have been rooted",2
"have been said about","about","have been said",3
"have been selected as","as","have been selected",2
"have been taken off","off","have been taken",3
"have been taking place","place","have been taking",2
"have been talking about","about","have been talking",13
"have been the last","last","have been the",6
"have been there ever","ever","have been there",2
"have been to have","have","have been to",3
"have been under the","the","have been under",3
"have been using the","the","have been using",3
"have been working on","on","have been working",34
"have been working with","with","have been working",7
"have chosen to take","take","have chosen to",3
"have come from a","a","have come from",4
"have come to an","an","have come to",4
"have come to see","see","have come to",2
"have created a rich","rich","have created a",2
"have decided not to","to","have decided not",6
"have done nothing wrong","wrong","have done nothing",2
"have done so much","much","have done so",3
"have ever been in","in","have ever been",7
"have fallen by the","the","have fallen by",2
"have fond memories of","of","have fond memories",8
"have for you today","today","have for you",5
"have given your life","life","have given your",2
"have got to be","be","have got to",23
"have had as much","much","have had as",2
"have had better days","days","have had better",2
"have had in a","a","have had in",3
"have had quite a","a","have had quite",3
"have half a day","day","have half a",2
"have heard stories of","of","have heard stories",3
"have in store for","for","have in store",14
"have it a little","little","have it a",2
"have it any other","other","have it any",16
"have it at the","the","have it at",5
"have it on good","good","have it on",4
"have just a few","few","have just a",2
"have just one question","question","have just one",2
"have known for years","years","have known for",4
"have largely focused on","on","have largely focused",2
"have led to a","a","have led to",6
"have liked to have","have","have liked to",11
"have little to do","do","have little to",10
"have lived here for","for","have lived here",6
"have long been the","the","have long been",4
"have lots of people","people","have lots of",2
"have made me feel","feel","have made me",4
"have met you I","I","have met you",2
"have missed you guys","guys","have missed you",2
"have more experience than","than","have more experience",2
"have more faith in","in","have more faith",3
"have more opportunity to","to","have more opportunity",3
"have never been in","in","have never been",12
"have never come across","across","have never come",3
"have never guessed that","that","have never guessed",2
"have no business being","being","have no business",3
"have no desire to","to","have no desire",20
"have no doubt the","the","have no doubt",4
"have no idea I","I","have no idea",17
"have no idea You","You","have no idea",2
"have no idea of","of","have no idea",10
"have no idea what","what","have no idea",154
"have no need to","to","have no need",2
"have no problem with","with","have no problem",27
"have no way of","of","have no way",6
"have not had a","a","have not had",18
"have not lived until","until","have not lived",2
"have nothing to say","say","have nothing to",14
"have only been to","to","have only been",2
"have people in my","my","have people in",2
"have picked a better","better","have picked a",2
"have pictures of the","the","have pictures of",5
"have plans to travel","travel","have plans to",2
"have popped up all","all","have popped up",2
"have really enjoyed it","it","have really enjoyed",2
"have salary cap space","space","have salary cap",2
"have saved his life","life","have saved his",2
"have seen all of","of","have seen all",2
"have seen the number","number","have seen the",2
"have sizable artichoke tattoos","tattoos","have sizable artichoke",2
"have so much fun","fun","have so much",25
"have so much in","in","have so much",6
"have so much to","to","have so much",25
"have some for you","you","have some for",2
"have some fun and","and","have some fun",7
"have something in common","common","have something in",14
"have something to say","say","have something to",27
"have surgery on his","his","have surgery on",2
"have taken on more","more","have taken on",4
"have talent and they","they","have talent and",2
"have that in my","my","have that in",2
"have the ability to","to","have the ability",68
"have the authority to","to","have the authority",15
"have the best mom","mom","have the best",2
"have the chance to","to","have the chance",41
"have the clout to","to","have the clout",2
"have the money and","and","have the money",6
"have the money she","she","have the money",2
"have the money to","to","have the money",30
"have the option of","of","have the option",29
"have the power to","to","have the power",41
"have the right to","to","have the right",98
"have the upper hand","hand","have the upper",9
"have tickets for the","the","have tickets for",2
"have time to enjoy","enjoy","have time to",2
"have to address the","the","have to address",3
"have to admit it","it","have to admit",9
"have to admit that","that","have to admit",47
"have to answer questions","questions","have to answer",4
"have to bake it","it","have to bake",2
"have to be a","a","have to be",102
"have to be able","able","have to be",25
"have to be aware","aware","have to be",8
"have to be done","done","have to be",12
"have to be flexible","flexible","have to be",3
"have to be my","my","have to be",5
"have to be such","such","have to be",3
"have to be the","the","have to be",34
"have to be there","there","have to be",8
"have to be this","this","have to be",8
"have to believe in","in","have to believe",14
"have to check that","that","have to check",8
"have to clean it","it","have to clean",2
"have to come in","in","have to come",9
"have to come up","up","have to come",9
"have to come visit","visit","have to come",3
"have to compete not","not","have to compete",2
"have to confess that","that","have to confess",5
"have to deal with","with","have to deal",101
"have to depend on","on","have to depend",7
"have to do for","for","have to do",7
"have to do if","if","have to do",5
"have to do something","something","have to do",33
"have to do with","with","have to do",64
"have to explain myself","myself","have to explain",2
"have to figure out","out","have to figure",35
"have to get one","one","have to get",5
"have to get used","used","have to get",13
"have to go You","You","have to go",2
"have to go in","in","have to go",8
"have to go through","through","have to go",61
"have to hand it","it","have to hand",9
"have to hire someone","someone","have to hire",2
"have to learn how","how","have to learn",4
"have to leave the","the","have to leave",20
"have to let me","me","have to let",11
